"Intent";"result"
"workerBusinessContactInformation.update";"""update worker business contact info"""
"workerBusinessContactInformation.update";"""update business contact"""
"workerBusinessContactInformation.update";"""inform associate biz contact"""
"workerBusinessContactInformation.update";"""update Pascual business information"""
"workerBusinessContactInformation.update";"""modify worker biz info"""
"workerBusinessContactInformation.update";"""edit Anthony contact info"""
"workerBusinessContactInformation.update";"""update Dan business contact information"""
"workerBusinessContactInformation.update";"""edit employee contact information"""
"workerBusinessContactInformation.update";"""adjust worker business info"""
"workerBusinessContactInformation.update";"""update worker contacts"""
"workerBusinessContactInformation.update";"""modify Roberto contact information"""
"workerBusinessContactInformation.update";"""adjust Chase emergency contacts"""
"workerBusinessContactInformation.update";"""update worker business emergency contact"""
"assessment.add";"""i need to add new assessment"""
"assessment.add";"""setup assessment"""
"assessment.add";"""add assessment"""
"assessment.add";"""please make a new assessment"""
"assessment.add";"""new assessment addition"""
"assessment.add";"""new assessment"""
"assessment.add";"""make assessment"""
"assessment.add";"""create assessment"""
"assessment.add";"""set up assessment"""
"assessment.add";"""establish assessment"""
"assessment.add";"""start new assessment"""
"assessment.submit";"""finish assessmsent"""
"assessment.submit";"""finish pre-screening"""
"assessment.submit";"""send an screening"""
"assessment.submit";"""please submit an assessment"""
"assessment.submit";"""turn in assessment"""
"assessment.submit";"""finish prescreening"""
"assessment.submit";"""complete pre-screening"""
"assessment.submit";"""send screening"""
"assessment.submit";"""submit assessment"""
"assessment.submit";"""i need to complete an assessment"""
"assessment.submit";"""please submit assessment now"""
"assessment.submit";"""submit screening"""
"assessment.submit";"""end assessment"""
"assessment.take";"""please take a new assessment"""
"assessment.take";"""answer to an assessment"""
"assessment.take";"""fill in assessment"""
"assessment.take";"""answer assessment"""
"assessment.take";"""complete assessment"""
"assessment.take";"""fill out assessment"""
"assessment.take";"""take assessment"""
"assessment.take";"""respond to assessment"""
"assessment.take";"""i need to take an assessment"""
"assessment.take";"""make assessment now please"""
"assessment.take";"""I need to complete an assessment"""
"assessment.take";"""I need to finish an assessment"""
"assessment.update";"""change assessment"""
"assessment.update";"""adjust assessment"""
"assessment.update";"""correct an assessment"""
"assessment.update";"""update assessment"""
"assessment.update";"""please update assessment"""
"assessment.update";"""modify assessment"""
"assessment.update";"""i need to update an assessment"""
"assessment.update";"""correct assessment"""
"assessment.update";"""edit assessment"""
"associateGovernmentRegistration.create";"""make employee government registration"""
"associateGovernmentRegistration.create";"""i need to create government docs for employee"""
"associateGovernmentRegistration.create";"""establish worker government doc"""
"associateGovernmentRegistration.create";"""add Keith gov documentation"""
"associateGovernmentRegistration.create";"""create worker gov matriculation"""
"associateGovernmentRegistration.create";"""make new Anthony government docs"""
"associateGovernmentRegistration.create";"""create Dan government document"""
"associateGovernmentRegistration.create";"""make new employee government doc"""
"associateGovernmentRegistration.create";"""new worker government enrollment"""
"associateGovernmentRegistration.create";"""create associate gov registration"""
"associateGovernmentRegistration.create";"""add associate government reg"""
"associateGovernmentRegistration.create";"""establish worker government registration"""
"associateGovernmentRegistration.create";"""new associate government registration"""
"associateGovernmentRegistration.create";"""create associate government registration"""
"associateGovernmentRegistration.create";"""create worker passport"""
"associateGovernmentRegistration.create";"""make worker driver license"""
"associateGovernmentRegistration.create";"""create Teresa passport"""
"associateGovernmentRegistration.create";"""create worker SSN"""
"associateGovernmentRegistration.create";"""add Teresa social security number"""
"associateGovernmentRegistration.create";"""new associate SSN"""
"associateGovernmentRegistration.create";"""make Vincent social security number"""
"associateGovernmentRegistration.create";"""create worker VISA"""
"associateGovernmentRegistration.create";"""add VISA document for worker Tom"""
"associateGovernmentRegistration.create";"""make employee VISA doc"""
"associateGovernmentRegistration.create";"""establish associate visa"""
"associateGovernmentRegistration.update";"""change Keith gov docs"""
"associateGovernmentRegistration.update";"""edit Anthony government docs"""
"associateGovernmentRegistration.update";"""update Teresa government documents"""
"associateGovernmentRegistration.update";"""edit Pascual gov doc"""
"associateGovernmentRegistration.update";"""modify Dan government document"""
"associateGovernmentRegistration.update";"""change worker government reg"""
"associateGovernmentRegistration.update";"""change employee government enrollment"""
"associateGovernmentRegistration.update";"""change employee government reg"""
"associateGovernmentRegistration.update";"""update worker government reg"""
"associateGovernmentRegistration.update";"""edit employee government enrollment"""
"associateGovernmentRegistration.update";"""update employee government reg"""
"associateGovernmentRegistration.update";"""update worker government enrollment"""
"associateGovernmentRegistration.update";"""modify associate gov matriculation"""
"associateGovernmentRegistration.update";"""edit associate gov registration"""
"associateGovernmentRegistration.update";"""update associate gov reg"""
"associateGovernmentRegistration.update";"""edit employee gov reg"""
"associateGovernmentRegistration.update";"""modify associate government matriculation"""
"associateGovernmentRegistration.update";"""edit associate government reg"""
"associateGovernmentRegistration.update";"""modify worker government registration"""
"associateGovernmentRegistration.update";"""update associate government enrollment"""
"associateGovernmentRegistration.update";"""update associate government registration"""
"associateGovernmentRegistration.update";"""update worker passport"""
"associateGovernmentRegistration.update";"""update worker driver license"""
"associateGovernmentRegistration.update";"""change Teresa passport"""
"associateGovernmentRegistration.update";"""change Dan driver license"""
"associateGovernmentRegistration.update";"""edit employee passport"""
"associateGovernmentRegistration.update";"""update worker SSN"""
"associateGovernmentRegistration.update";"""edit Katherine social security number"""
"associateGovernmentRegistration.update";"""change employee SSN"""
"associateGovernmentRegistration.update";"""update Bill social security number"""
"associateGovernmentRegistration.update";"""update worker VISA"""
"associateGovernmentRegistration.update";"""modify Bill visa document"""
"associateGovernmentRegistration.update";"""edit associate VISA"""
"associateGovernmentRegistration.update";"""change Bruno visa"""
"band.activate";"""please activate band"""
"band.activate";"""launching job band"""
"band.activate";"""opening job band"""
"band.activate";"""job pay band activation"""
"band.activate";"""start band"""
"band.activate";"""launch pay band"""
"band.activate";"""open job band"""
"band.activate";"""switch on salary band"""
"band.activate";"""turn on band"""
"band.activate";"""initiate pay band"""
"band.activate";"""activate job band"""
"band.create";"""establish pay band"""
"band.create";"""set up job band"""
"band.create";"""make salary band"""
"band.create";"""add pay band"""
"band.create";"""add band"""
"band.create";"""create new job pay band"""
"band.create";"""create pay band"""
"band.create";""" new job band create"""
"band.create";"""new job band"""
"band.create";"""create band"""
"band.create";"""make a new pay band"""
"band.create";"""new payband"""
"band.create";"""create new salary band"""
"band.deactivate";"""I need to deactivate job band"""
"band.deactivate";"""please deactivation pay band"""
"band.deactivate";"""stop band"""
"band.deactivate";"""turn off pay band"""
"band.deactivate";"""shut off job band"""
"band.deactivate";"""salary pay band deactivation"""
"band.deactivate";"""inactivate salary band"""
"band.deactivate";"""disconnect band"""
"band.deactivate";"""disable pay band"""
"band.deactivate";"""job band deactivation"""
"band.deactivate";"""deactivate job band"""
"band.delete";"""get rid of job band"""
"band.delete";"""take away salary band"""
"band.delete";"""elim pay band"""
"band.delete";"""eliminate band"""
"band.delete";"""rem pay band"""
"band.delete";"""remove pay band"""
"band.delete";"""del job band"""
"band.delete";"""delete job band"""
"band.delete";"""please del job band"""
"band.delete";"""eliminate a job pay band"""
"band.delete";"""take away a job band"""
"band.delete";"""make deletion of job band"""
"band.delete";"""elimination of job band"""
"band.delete";"""removal job band please"""
"band.update";"""correct establish pay band"""
"band.update";"""edit pay band"""
"band.update";"""edit job band"""
"band.update";"""adjust salary band"""
