,phrase,intent,preproc_text
0,"add Stani, stani Ibar vodo songs in my playlist mГєsica libre",AddToPlaylist,add stani stani ibar vodo songs in my playlist m sica libre
1,add this album to my Blues playlist,AddToPlaylist,add this album to my blues playlist
2,Add the tune to the Rage Radio playlist.,AddToPlaylist,add the tune to the rage radio playlist 
3,Add WC Handy to my Sax and the City playlist,AddToPlaylist,add wc handy to my sax and the city playlist
4,Add BSlade to women of k-pop playlist,AddToPlaylist,add bslade to women of kpop playlist
5,add the current tune to my Rock Gaming playlist,AddToPlaylist,add the current tune to my rock gaming playlist
6,add villotta to The MetalSucks Playlist playlist,AddToPlaylist,add villotta to the metalsucks playlist playlist
7,Add Bronislau Kaper to the drive playlist.,AddToPlaylist,add bronislau kaper to the drive playlist 
8,add the artist joseph meyer to my mad cool festival 2017 playlist,AddToPlaylist,add the artist joseph meyer to my mad cool festival 2017 playlist
9,Add the avispa track to my Bass Gaming playlist.,AddToPlaylist,add the avispa track to my bass gaming playlist 
10,add bob klose to la mejor mГєsica para tus fiestas ,AddToPlaylist,add bob klose to la mejor m sica para tus fiestas
11,Add como un tatuaje to my hits of the 70s playlist,AddToPlaylist,add como un tatuaje to my hits of the 70s playlist
12,Add this tune to the sylvia plath playlist,AddToPlaylist,add this tune to the sylvia plath playlist
13,add an album in Guitar Hero Live Playlist,AddToPlaylist,add an album in guitar hero live playlist
14,add Chris de Burgh in my playlist melancholia,AddToPlaylist,add chris de burgh in my playlist melancholia
15,Add John Tesh to my salsa classics playlist,AddToPlaylist,add john tesh to my salsa classics playlist
16,add the current tune to my Six string peacefulness playlist,AddToPlaylist,add the current tune to my six string peacefulness playlist
17,Add the track to my workout playlist.,AddToPlaylist,add the track to my workout playlist 
18,Add the album to my Heavy Gamer playlist.,AddToPlaylist,add the album to my heavy gamer playlist 
19,add an album in my playlist In The Name Of Blues,AddToPlaylist,add an album in my playlist in the name of blues
20,add bang a drum to my cleaning playlist,AddToPlaylist,add bang a drum to my cleaning playlist
21,Add the track to the bandas sonoras playlist.,AddToPlaylist,add the track to the bandas sonoras playlist 
22,Add the track to my romantic evening playlist.,AddToPlaylist,add the track to my romantic evening playlist 
23,Add decade in the sun best of stereophonics to laundry.,AddToPlaylist,add decade in the sun best of stereophonics to laundry 
24,I'd like to put qriii onto songs to sing in the car.,AddToPlaylist,i d like to put qriii onto songs to sing in the car 
25,"add Dunja, du to my ejercicio playlist",AddToPlaylist,add dunja du to my ejercicio playlist
26,"I want to send music to ann's lists from SIR John Winston Ono Lennon, put it on her Infinite Indie Folk list",AddToPlaylist,i want to send music to ann lists from sir john winston ono lennon put it on her infinite indie folk list
27,Please put maimi yajima's song onto OperaciГіn Bikini.,AddToPlaylist,please put maimi yajima song onto operaci n bikini 
28,"add artist in my
 Top 100 Rock Tracks on Spotify",AddToPlaylist,add artist in my top 100 rock tracks on spotify
29,Add the artist Jurij Szewczuk to tisha's soul revived playlist.,AddToPlaylist,add the artist jurij szewczuk to tisha soul revived playlist 
30,Add Fair Charlotte to the We Everywhere playlist.,AddToPlaylist,add fair charlotte to the we everywhere playlist 
31,add Masahiro Nakai track in playlist Modern Psychedelia,AddToPlaylist,add masahiro nakai track in playlist modern psychedelia
32,Add the song to the soundscapes for gaming playlist.,AddToPlaylist,add the song to the soundscapes for gaming playlist 
33,A Shawnna to the Warm Hearts Feel Good playlist.,AddToPlaylist,a shawnna to the warm hearts feel good playlist 
34,Add Come on Feel the Lemonheads to my salsa classics playlist.,AddToPlaylist,add come on feel the lemonheads to my salsa classics playlist 
35,Add track by Fleetwood Mac to lakeisha's playlist TODO NOVEDADES,AddToPlaylist,add track by fleetwood mac to lakeisha playlist todo novedades
36,Add the artist to my Duetos.,AddToPlaylist,add the artist to my duetos 
37,add Elvis Presley and America in my playlist Electro Workout,AddToPlaylist,add elvis presley and america in my playlist electro workout
38,Add Rattus at the Roundhouse to my funk playlist.,AddToPlaylist,add rattus at the roundhouse to my funk playlist 
39,add this artist to my Noche de chicas playlist,AddToPlaylist,add this artist to my noche de chicas playlist
40,add pump-pump to my this is zezГ© di camargo & luciano playlist,AddToPlaylist,add pumppump to my this is zez di camargo luciano playlist
41,Add a tune to my playlist girls' night,AddToPlaylist,add a tune to my playlist girls night
42,I want to add Ottagathai Kattiko to the women of classical playlist.,AddToPlaylist,i want to add ottagathai kattiko to the women of classical playlist 
43,Add the artist to my Metal playlist.,AddToPlaylist,add the artist to my metal playlist 
44,Add the current artist to my extreme metal workout playlist,AddToPlaylist,add the current artist to my extreme metal workout playlist
45,Add dear hearts and gentle people to he Tokyo Rising playlist.,AddToPlaylist,add dear hearts and gentle people to he tokyo rising playlist 
46,add the man who never lied to my current comedy top tracks,AddToPlaylist,add the man who never lied to my current comedy top tracks
47,add Michael Penn songs in my playlist Calm before the storm,AddToPlaylist,add michael penn songs in my playlist calm before the storm
48,Please add james house to bleeps & bloops,AddToPlaylist,please add james house to bleeps bloops
49,Please put this song onto my Urban Hits playlist.,AddToPlaylist,please put this song onto my urban hits playlist 
50,Add the artist to my classical feast playlist.,AddToPlaylist,add the artist to my classical feast playlist 
51,Please add this artist to TODO NOVEDADES,AddToPlaylist,please add this artist to todo novedades
52,Add doctor lawyer indian chief to my playlist Synth Pop,AddToPlaylist,add doctor lawyer indian chief to my playlist synth pop
53,Can you put Musiri Subramania Iyer's song onto the lo-fi love soundtrack?,AddToPlaylist,can you put musiri subramania iyer song onto the lofi love soundtrack
54,Add sp balasubrahmanyam to my rockabilly mania playlist.,AddToPlaylist,add sp balasubrahmanyam to my rockabilly mania playlist 
55,Add a tune by gene summers to family road trip in my playlist,AddToPlaylist,add a tune by gene summers to family road trip in my playlist
